path,relevant
nepal_eq/nepal_eq_none_im_5522.jpg,0
nepal_eq/nepal_eq_severe_im_12790.jpg,1
nepal_eq/nepal_eq_severe_im_36185.jpg,1
nepal_eq/nepal_eq_none_im_37629.jpg,0
nepal_eq/nepal_eq_mild_im_10018.jpg,1
nepal_eq/nepal_eq_none_im_36591.png,0
nepal_eq/nepal_eq_mild_im_29340.jpg,1
nepal_eq/nepal_eq_severe_im_25664.jpg,1
nepal_eq/nepal_eq_severe_im_36204.jpg,1
nepal_eq/nepal_eq_severe_im_14943.jpg,1
nepal_eq/nepal_eq_severe_im_13815.jpg,1
nepal_eq/nepal_eq_severe_im_41796.jpg,1
nepal_eq/nepal_eq_mild_im_13685.jpg,1
nepal_eq/nepal_eq_none_im_33025.jpg,0
nepal_eq/nepal_eq_severe_im_37821.jpg,1
nepal_eq/nepal_eq_severe_im_12126.jpg,1
nepal_eq/nepal_eq_severe_im_16716.jpg,1
nepal_eq/nepal_eq_severe_im_9548.jpg,1
nepal_eq/nepal_eq_severe_im_10363.jpg,1
nepal_eq/nepal_eq_severe_im_30194.jpg,1
nepal_eq/nepal_eq_none_im_35670.jpg,0
nepal_eq/nepal_eq_none_im_40430.jpg,0
nepal_eq/nepal_eq_none_im_23887.jpg,0
nepal_eq/nepal_eq_none_im_41799.jpg,0
nepal_eq/nepal_eq_severe_im_29697.jpg,1
nepal_eq/nepal_eq_severe_im_3615.jpg,1
nepal_eq/nepal_eq_none_im_9748.jpg,0
nepal_eq/nepal_eq_none_im_40312.jpg,0
nepal_eq/nepal_eq_severe_im_6357.jpg,1
nepal_eq/nepal_eq_severe_im_33825.jpg,1
nepal_eq/nepal_eq_none_im_36435.jpg,0
nepal_eq/nepal_eq_severe_im_30472.jpg,1
nepal_eq/nepal_eq_none_im_15401.jpg,0
nepal_eq/nepal_eq_none_im_151.jpg,0
nepal_eq/nepal_eq_none_im_7166.jpg,0
nepal_eq/nepal_eq_severe_im_19329.jpg,1
nepal_eq/nepal_eq_none_im_6291.jpg,0
nepal_eq/nepal_eq_severe_im_40880.jpg,1
